business,company_name,deadline,keyword,link,location,position,salary_condition
"유튜브 인플루언서와 광고주 브랜드를 연결하는 마케팅 플랫폼, ""유커넥""",유커넥,03.31 마감,"backend developer, backend, devops, Python, Django, Django REST framework, django-celery, MySQL, PostgreSQL, Amazon AWS, NoSQL, Git, GitLab, gitlab-ci-runner, Asana, refactoring, rdbms, REST API",https://www.rocketpunch.com/jobs/68119/%EC%96%B4%EB%B2%A4%EC%A0%B8%EC%8A%A4-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,서울특별시 강남구,"""어벤져스"" 백엔드 개발자","4,000 - 10,000만원 / 최대 3.0% / 경력"
반려동물과 반려인을 위한 라이프스타일 디자인,퍼플네스트,04.30 마감,"Python, Django, Amazon AWS, Back-end, Git, GitHub, Agile Scrum, PostgreSQL, Redis, Azure Devops, 웹서비스, aws",https://www.rocketpunch.com/jobs/69968/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,서울특별시 중구,백엔드 개발자,"최소 5,500만원 / 경력"
매장 고객관리 플랫폼 '도도(dodo)'를 운영합니다.,스포카,수시채용,"안드로이드, Android, android플랫폼, Kotlin, Java, RESTful-api, TypeScript, Python, Rust, C, Haskell",https://www.rocketpunch.com/jobs/69688/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8,서울특별시 강남구,안드로이드 프로그래머,경력
에너지데이터를 활용한 산업용 AI 솔루션을 제공하는 미국 실리콘벨리 에너지스타트업,크로커스 에너지 코리아,04.30 마감,Python,https://www.rocketpunch.com/jobs/68465/%EC%97%90%EB%84%88%EC%A7%80%EB%B6%80%EB%AC%B8-Data-analysis-%EB%B6%84%EC%95%BC,서울특별시 강남구,[에너지부문] Data analysis 분야,"4,000 - 4,500만원 / 경력"
매장 고객관리 플랫폼 '도도(dodo)'를 운영합니다.,스포카,수시채용,"Python, 백엔드, 백엔드개발자, Back-end, rdbms, PostgreSQL, MSA, soa, 오픈소스, 테스트자동화, 빌드자동화, 지속적통합",https://www.rocketpunch.com/jobs/69686/%EB%B0%B1%EC%97%94%EB%93%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8,서울특별시 강남구,백엔드 프로그래머,경력
딥러닝을 통한 의료빅데이터 유전체 분석,피디젠,03.19 마감,"TensorFlow, R, Python, k",https://www.rocketpunch.com/jobs/69728/Deep-learing%EC%9D%84-%ED%86%B5%ED%95%9C-%EC%9D%98%EB%A3%8C%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D,경기도 성남시,Deep-learing을 통한 의료데이터 분석,"3,000 - 4,000만원 / 신입, 경력"
마이뮤직테이스트는 IT와 음악에 대한 열정으로 전세계 공연 업계의 패러다임을 바꿀 수 있다고 믿는 사람들이 모여있습니다. 다양한 경험과 문화적 배경을 가진 직원들이 자유로운 분위기 속에서 전세계를 대상으로 능력을 발휘하고 있습니다. 이에 전세계 음악팬들을 위한 서비스를 함께 만들어갈 최고의 인재를 모시고자  노력을 아끼지 않고 있습니다.,마이뮤직테이스트,04.30 마감,"Java, Python",https://www.rocketpunch.com/jobs/64739/%EC%82%B0%EC%97%85%EA%B8%B0%EB%8A%A5%EC%9A%94%EC%9B%90%EB%B3%B4%EC%B6%A9%EC%97%AD-QA-Engineer,서울특별시 강남구,산업기능요원(보충역) QA Engineer,"신입, 경력"
"결제데이터를 실시간 수집 분석하여, 매출 관리를 효율적으로 할 수 있는 서비스를 개발/운영하고 있습니다.",누벤트,03.19 마감,"Python, MySQL, Back-end, Amazon AWS, Node.js, Flask, python flask, TensorFlow",https://www.rocketpunch.com/jobs/69726/%EB%B0%B1%EC%97%94%EB%93%9C-%EB%B0%8F-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%B1%84%EC%9A%A9,서울특별시 강남구,백엔드 및 데이터 엔지니어 채용,"최소 3,500만원 / 경력"
마이뮤직테이스트는 IT와 음악에 대한 열정으로 전세계 공연 업계의 패러다임을 바꿀 수 있다고 믿는 사람들이 모여있습니다. 다양한 경험과 문화적 배경을 가진 직원들이 자유로운 분위기 속에서 전세계를 대상으로 능력을 발휘하고 있습니다. 이에 전세계 음악팬들을 위한 서비스를 함께 만들어갈 최고의 인재를 모시고자  노력을 아끼지 않고 있습니다.,마이뮤직테이스트,수시채용,"Python, Java",https://www.rocketpunch.com/jobs/68912/%EC%82%B0%EC%97%85%EA%B8%B0%EB%8A%A5%EC%9A%94%EC%9B%90%EB%B3%B4%EC%B6%A9%EC%97%AD-Backend-Engineer,서울특별시 강남구,산업기능요원(보충역) Backend Engineer,"신입, 경력"
Eye-tracking technologies for Mobile/VR/AR devices,비주얼캠프,03.18 마감,"math,  Linear Algebra, C++, Python, optimization",https://www.rocketpunch.com/jobs/69659/%ED%98%84%EC%97%AD%EB%B3%91%ED%8A%B9-%EC%8B%9C%EC%84%A0%EC%B6%94%EC%A0%81-%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C-%EC%9D%B8%EC%9E%AC%EB%A5%BC-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4,경기도 성남시,[현역병특] 시선추적 연구개발 인재를 구합니다,"3,600 - 7,000만원 / 신입"
마이뮤직테이스트는 IT와 음악에 대한 열정으로 전세계 공연 업계의 패러다임을 바꿀 수 있다고 믿는 사람들이 모여있습니다. 다양한 경험과 문화적 배경을 가진 직원들이 자유로운 분위기 속에서 전세계를 대상으로 능력을 발휘하고 있습니다. 이에 전세계 음악팬들을 위한 서비스를 함께 만들어갈 최고의 인재를 모시고자  노력을 아끼지 않고 있습니다.,마이뮤직테이스트,수시채용,"데이터분석, 데이터 모델링, Python, 통계 분석, 머신러닝, 딥러닝",https://www.rocketpunch.com/jobs/70775/Data-Analyst,서울특별시 강남구,Data Analyst,경력
"외식 사업자를 위한, 믿을 수 있고 투명한 식재료 유통 플랫폼, 오더플러스",(주)엑스바엑스,수시채용,"iOS, Swift, Mobile Service, Mobile Applications, eCommerce, e-commerce, Python, Django, Android, Web Service, React.js, Vue.js, JavaScript, Electron.js, Java, Front-end",https://www.rocketpunch.com/jobs/47553/%ED%95%B5%EC%8B%AC%EA%B0%9C%EB%B0%9C%EC%9E%90-Full-Stack-%EA%B0%9C%EB%B0%9C%EC%9E%90-Android-iOS-Web-%EC%A4%91-2%EA%B0%9C-%EC%9D%B4%EC%83%81%EC%82%B0%EC%97%85%EA%B8%B0%EB%8A%A5%EC%9A%94%EC%9B%90-%EA%B0%80%EB%8A%A5,서울특별시 송파구,"[핵심개발자] Full-Stack 개발자 (Android, iOS, Web 중 2개 이상)[산업기능요원 가능]","3,600 - 8,000만원 / 0.5% - 5.0% / 경력"
마이뮤직테이스트는 IT와 음악에 대한 열정으로 전세계 공연 업계의 패러다임을 바꿀 수 있다고 믿는 사람들이 모여있습니다. 다양한 경험과 문화적 배경을 가진 직원들이 자유로운 분위기 속에서 전세계를 대상으로 능력을 발휘하고 있습니다. 이에 전세계 음악팬들을 위한 서비스를 함께 만들어갈 최고의 인재를 모시고자  노력을 아끼지 않고 있습니다.,마이뮤직테이스트,수시채용,"비즈니스분석, 데이터분석, 크롤링, Python, 인사이트, Machine Learning , 데이터 모델링, 마켓리서치, market research, 머신러닝, SQL, regression, decision-tree, Data Modeling,  Data analysis",https://www.rocketpunch.com/jobs/70204/Data-Analyst-Intern,서울특별시 강남구,Data Analyst Intern,인턴
"외식 사업자를 위한, 믿을 수 있고 투명한 식재료 유통 플랫폼, 오더플러스",(주)엑스바엑스,수시채용,"Mobile Service, Mobile Applications, eCommerce, e-commerce, Python, Django, Back-end, backend developer, REST API, RESTful-api, Elasticsearch, Elastic Search, Machine Learning , Azure Machine Learning, collaborative-filtering, Data Science, Data Engineering, MySQL, deep-learning, machine-learning, TensorFlow, 머신러닝, artificial-intelligence, 인공지능, 딥러닝, 기계학습, Data Modeling",https://www.rocketpunch.com/jobs/47552/Back-End-%EA%B0%9C%EB%B0%9C%EC%9E%90-Django-%EB%B3%91%EC%97%AD%ED%8A%B9%EB%A1%80-%EC%82%B0%EC%97%85%EA%B8%B0%EB%8A%A5%EC%9A%94%EC%9B%90-%EA%B0%80%EB%8A%A5,서울특별시 송파구,Back-End 개발자 (Django) [병역특례 산업기능요원 가능],"4,500 - 8,000만원 / 0.2% - 5.0% / 경력"
마이뮤직테이스트는 IT와 음악에 대한 열정으로 전세계 공연 업계의 패러다임을 바꿀 수 있다고 믿는 사람들이 모여있습니다. 다양한 경험과 문화적 배경을 가진 직원들이 자유로운 분위기 속에서 전세계를 대상으로 능력을 발휘하고 있습니다. 이에 전세계 음악팬들을 위한 서비스를 함께 만들어갈 최고의 인재를 모시고자  노력을 아끼지 않고 있습니다.,마이뮤직테이스트,수시채용,"google optimize, Optimizely, A/B Testing, Google BigQuery, tableau, R, Python, SQL, Google Analytics, Mixpanel, Google Marketing(Google Adwords/ Google Analytics/ Google Tag Manager), Funnel 분석, 그로스해킹, 통계학, 사용자 행동 분석, 시장조사,분석",https://www.rocketpunch.com/jobs/70349/Growth-Analyst,서울특별시 강남구,Growth Analyst,경력
온디맨드 패션 셰어링 플랫폼  '클로젯셰어'를 서비스하고 있습니다.,(주)더클로젯컴퍼니,03.31 마감,"Node.js, Java, JavaScript, jQuery, Python, MySQL, JSP, Amazon AWS, Back-end, Front-end, 서버관리, GitHub, Git, HTML5, spring-framework",https://www.rocketpunch.com/jobs/50447/%EA%B2%BD%EB%A0%A5-%EC%8B%A4%EB%A0%A5%EC%9E%88%EB%8A%94-JAVA-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C-%EB%8B%B4%EB%8B%B9%EC%9E%90%EB%A5%BC-%EB%AA%A8%EC%8B%AD%EB%8B%88%EB%8B%A4,서울특별시 성동구,(경력) 실력있는 JAVA 서버 개발 담당자를 모십니다.,"4,000 - 6,000만원 / 경력"
White-label sticker API solution that empowers companies to provide great functional stickers,스티팝,수시채용,"Python, R, Scala, SQL, JavaScript",https://www.rocketpunch.com/jobs/68976/Data-Scientist,서울특별시 강남구,Data Scientist,경력
"금융을 쇼핑하다, 핀다",핀다,수시채용,"Amazon AWS, JavaScript, Node.js, React, Elasticsearch, MySQL, Python, Android, iOS, Front-end, Back-end, Git, 서버관리, 소프트웨어아키텍처, WordPress",https://www.rocketpunch.com/jobs/69133/Frontend-Developer%EA%B2%BD%EB%A0%A5,서울특별시 강남구,Frontend Developer(경력),경력
머신러닝/인공지능을 활용한 개인화 취향 분석 및 컨텐츠 추천 기술을 연구합니다.,라이앤캐처스,03.31 마감,"Java, Python, machine-learning, Datamining, matrix-factorization, data-structures, GitHub, agile, analytics, amazon-elb, recommendation, MySQL, MongoDB",https://www.rocketpunch.com/jobs/39479/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EB%8D%B0%EC%9D%B4%ED%84%B0-PM-%EC%9C%BC%EB%A1%9C-%EC%84%B1%EC%9E%A5%ED%95%98%EA%B3%A0-%EC%8B%B6%EC%9D%80-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A7%80%EB%B6%84-%EC%B0%B8%EC%97%AC,경력,데이터 엔지니어 / 데이터 PM 으로 성장하고 싶은 개발자 (지분 참여),"최대 6,000만원 / 3.0% - 7.0% / 경력"
